fpr,tpr,mr,filename
0.032941,0.574557,0.582979,hokuyo_2_gmapping__particles_50_minimumScore_0.3_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_11_resolution_0.025.png
0.012376,0.723579,0.912569,sick_2_gmapping__particles_75_minimumScore_0.01_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_26_resolution_0.05.png
0.003158,0.469322,0.980499,sick_2_gmapping__particles_50_minimumScore_0.01_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_39_resolution_0.05.png
0.057242,0.630564,0.143863,hokuyo_1_gmapping__particles_20_minimumScore_0.0_map_update_interval_5.0_delta_0.025.pgm,gt_wallthickness_3_resolution_0.025.png
0.032453,0.567942,0.365845,hokuyo_2_gmapping__particles_50_minimumScore_0.0_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_5_resolution_0.05.png
0.022045,0.568210,0.794225,hokuyo_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_20_resolution_0.025.png
0.006032,0.745128,0.962963,sick_1_gmapping__particles_50_minimumScore_0.0_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_33_resolution_0.1.png
0.012461,0.753683,0.901911,sick_1_gmapping__particles_75_minimumScore_0.0_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_20_resolution_0.025.png
0.125110,0.668627,0.480416,hokuyo_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_26_resolution_0.05.png
0.028847,0.490659,0.657365,hokuyo_2_gmapping__particles_20_minimumScore_0.01_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_18_resolution_0.025.png
0.038831,0.702870,0.823946,hokuyo_2_gmapping__particles_50_minimumScore_0.0_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_37_resolution_0.025.png
0.027983,0.714483,0.864187,hokuyo_1_gmapping__particles_75_minimumScore_0.3_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_29_resolution_0.05.png
0.003672,0.439457,0.948854,sick_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_20_resolution_0.025.png
0.097306,0.723250,0.382936,hokuyo_2_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.4_map_update_angle_thresh_1.3.pgm,gt_wallthickness_11_resolution_0.025.png
0.098014,0.926285,0.784310,hokuyo_1_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.4_map_update_angle_thresh_0.5.pgm,gt_wallthickness_34_resolution_0.1.png
0.048034,0.764556,0.806919,hokuyo_1_gmapping__particles_50_minimumScore_0.0_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_37_resolution_0.025.png
0.084167,0.887192,0.780813,hokuyo_1_gmapping__particles_50_minimumScore_0.0_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_39_resolution_0.05.png
0.041049,0.806498,0.624242,sick_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_11_resolution_0.025.png
0.014450,0.497119,0.729833,sick_1_gmapping__particles_75_minimumScore_0.3_map_update_interval_5.0_delta_0.025.pgm,gt_wallthickness_11_resolution_0.025.png
0.016002,0.629828,0.840539,sick_1_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.4_map_update_angle_thresh_0.5.pgm,gt_wallthickness_20_resolution_0.025.png
0.039331,0.848724,0.822182,sick_1_gmapping__particles_20_minimumScore_0.01_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_33_resolution_0.1.png
0.048074,0.710297,0.851862,hokuyo_2_gmapping__particles_50_minimumScore_0.0_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_34_resolution_0.1.png
0.052348,0.881257,0.745750,sick_1_gmapping__particles_50_minimumScore_0.0_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_26_resolution_0.05.png
0.015043,0.585817,0.875351,hokuyo_1_gmapping__particles_75_minimumScore_0.01_map_update_interval_2.0_delta_0.025.pgm,gt_wallthickness_28_resolution_0.025.png
0.010938,0.777392,0.936774,sick_1_gmapping__particles_50_minimumScore_0.3_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_33_resolution_0.1.png
0.057856,0.728243,0.559856,hokuyo_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_15_resolution_0.05.png
0.038050,0.838710,0.825397,sick_1_gmapping__particles_50_minimumScore_0.0_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_33_resolution_0.1.png
