PING 129.70.141.143 (129.70.141.143) 56(84) bytes of data.
64 bytes from 129.70.141.143: icmp_seq=1 ttl=64 time=79.5 ms
64 bytes from 129.70.141.143: icmp_seq=2 ttl=64 time=12.2 ms
64 bytes from 129.70.141.143: icmp_seq=3 ttl=64 time=10.8 ms
64 bytes from 129.70.141.143: icmp_seq=4 ttl=64 time=7.01 ms
64 bytes from 129.70.141.143: icmp_seq=5 ttl=64 time=5.16 ms
64 bytes from 129.70.141.143: icmp_seq=6 ttl=64 time=19.4 ms
64 bytes from 129.70.141.143: icmp_seq=7 ttl=64 time=24.5 ms
64 bytes from 129.70.141.143: icmp_seq=8 ttl=64 time=8.85 ms
64 bytes from 129.70.141.143: icmp_seq=9 ttl=64 time=9.21 ms
64 bytes from 129.70.141.143: icmp_seq=10 ttl=64 time=12.2 ms
64 bytes from 129.70.141.143: icmp_seq=11 ttl=64 time=14.9 ms
64 bytes from 129.70.141.143: icmp_seq=12 ttl=64 time=10.5 ms
64 bytes from 129.70.141.143: icmp_seq=13 ttl=64 time=9.78 ms
64 bytes from 129.70.141.143: icmp_seq=14 ttl=64 time=17.9 ms
64 bytes from 129.70.141.143: icmp_seq=15 ttl=64 time=13.7 ms
64 bytes from 129.70.141.143: icmp_seq=16 ttl=64 time=4.09 ms
64 bytes from 129.70.141.143: icmp_seq=17 ttl=64 time=18.4 ms
64 bytes from 129.70.141.143: icmp_seq=18 ttl=64 time=9.07 ms
64 bytes from 129.70.141.143: icmp_seq=19 ttl=64 time=18.0 ms
64 bytes from 129.70.141.143: icmp_seq=20 ttl=64 time=42.0 ms
64 bytes from 129.70.141.143: icmp_seq=21 ttl=64 time=5.37 ms
64 bytes from 129.70.141.143: icmp_seq=22 ttl=64 time=4.03 ms
64 bytes from 129.70.141.143: icmp_seq=23 ttl=64 time=18.8 ms
64 bytes from 129.70.141.143: icmp_seq=24 ttl=64 time=10.3 ms
64 bytes from 129.70.141.143: icmp_seq=25 ttl=64 time=7.59 ms
64 bytes from 129.70.141.143: icmp_seq=26 ttl=64 time=14.0 ms
64 bytes from 129.70.141.143: icmp_seq=27 ttl=64 time=4.87 ms
64 bytes from 129.70.141.143: icmp_seq=28 ttl=64 time=4.29 ms
64 bytes from 129.70.141.143: icmp_seq=29 ttl=64 time=18.1 ms
64 bytes from 129.70.141.143: icmp_seq=30 ttl=64 time=16.8 ms
64 bytes from 129.70.141.143: icmp_seq=31 ttl=64 time=7.46 ms
64 bytes from 129.70.141.143: icmp_seq=32 ttl=64 time=27.7 ms
64 bytes from 129.70.141.143: icmp_seq=33 ttl=64 time=19.5 ms
